family,name,n,tau_real,tau_diff_real,s,phi,nullpos_iid,p_iid,nullpos_diff_iid,p_diff_iid,nullpos_ar1,p_ar1,nullpos_diff_ar1,p_diff_ar1
Renewables,Solar:China,14,0.8571428571428571,0.04761904761904762,0.07300633316982746,0.7260554553790697,0.5527638190954773,0.07035175879396985,0.5767195767195767,0.5767195767195767,0.5,0.07865168539325842,0.5060240963855421,0.5060240963855421
Renewables,Solar:Croatia,14,0.8571428571428571,0.23809523809523814,0.11968441551950035,0.5652186609277051,0.5532994923857868,0.07106598984771574,0.5487179487179488,0.4461538461538462,0.547486033519553,0.05027932960893855,0.5321637426900585,0.4444444444444444
Renewables,Solar:Cyprus,15,0.3571428571428571,0.4285714285714286,0.06167846045118372,0.8274569803245978,0.52,0.31,0.51,0.235,0.52,0.26,0.54,0.285
Renewables,Solar:Czechia,18,-0.41818181818181815,-0.3333333333333333,0.07811418178622775,0.47841555895911264,0.5636363636363636,0.7363636363636363,0.5272727272727272,0.6818181818181818,0.5145631067961165,0.7378640776699029,0.5098039215686274,0.7156862745098039
Renewables,Solar:Denmark,16,0.05555555555555555,0.21428571428571427,0.07112453897527013,0.3409625500117783,0.52,0.515,0.535,0.45,0.53,0.52,0.5678391959798995,0.457286432160804
Renewables,Solar:Dominican Republic,12,0.9999999999999999,0.6666666666666669,0.08321122825720803,0.0,0.43703703703703706,0.08888888888888889,0.43137254901960786,0.23529411764705882,0.4921875,0.1796875,0.4489795918367347,0.24489795918367346
Renewables,Solar:France,17,0.3333333333333333,0.5,0.05100335915178718,0.03467135154750196,0.46,0.29,0.505,0.255,0.5,0.365,0.485,0.25
Renewables,Solar:Germany,22,0.5384615384615383,0.303030303030303,0.0443239265386191,0.5824563848991244,0.5202020202020202,0.20202020202020202,0.4898989898989899,0.3434343434343434,0.5125628140703518,0.20100502512562815,0.46938775510204084,0.33163265306122447
Renewables,Solar:Greece,17,-0.5111111111111111,-0.05555555555555555,0.062238215529303004,0.5954723597301486,0.494949494949495,0.8181818181818182,0.51010101010101,0.5707070707070707,0.521505376344086,0.8172043010752689,0.5519125683060109,0.5956284153005464
Renewables,Solar:Guam,12,-0.7999999999999999,-1.0,0.09820550236904728,0.18197185442379574,0.34328358208955223,0.8656716417910447,0.36363636363636365,1.0,0.47058823529411764,0.8823529411764706,0.5294117647058824,1.0
Renewables,Solar:Hungary,12,-0.7999999999999999,0.3333333333333334,0.06946324240337466,0.8487919853228922,0.43646408839779005,0.8895027624309392,0.5384615384615384,0.5384615384615384,0.35064935064935066,0.8896103896103896,0.47619047619047616,0.47619047619047616
Renewables,Solar:India,16,0.8888888888888888,0.9285714285714285,0.057953955771704604,0.21964153741374576,0.505,0.025,0.5,0.015,0.45,0.04,0.457286432160804,0.020100502512562814
Renewables,Solar:Israel,16,0.3888888888888889,0.7857142857142856,0.05393336670375768,0.6494944789541662,0.425,0.28,0.45,0.125,0.48,0.245,0.55,0.09
Renewables,Solar:Japan,20,0.8666666666666666,0.7999999999999999,0.02618920629761574,0.7036088262293527,0.57,0.07,0.625,0.08,0.535,0.055,0.575,0.1
Renewables,Solar:Lithuania,15,0.4999999999999999,0.4285714285714286,0.08668594542661345,0.6694005645223869,0.485,0.245,0.505,0.385,0.56,0.26,0.55,0.365
