tech_name,region,country,unit,year_start,year_peak,year_sat,series_type,scale,source
Nuclear Energy,SVN,Slovenia,TWh,1965,2014,2021,pre_saturation,national,regional_csv
Nuclear Energy,ESP,Spain,TWh,1965,2001,2004,saturating,national,regional_csv
Nuclear Energy,SWE,Sweden,TWh,1965,2004,2021,pre_saturation,national,regional_csv
Nuclear Energy,CHE,Switzerland,TWh,1965,2014,2021,pre_saturation,national,regional_csv
Hydroelectricity,ZAF,South Africa,TWh,1965,1988,2021,pre_saturation,national,regional_csv
Nuclear Energy,UKR,Ukraine,TWh,1965,2007,2012,saturating,national,regional_csv
Hydroelectricity,AUS,Australia,TWh,1965,2011,2021,pre_saturation,national,regional_csv
Nuclear Energy,GBR,United Kingdom,TWh,1965,1998,2021,pre_saturation,national,regional_csv
Hydroelectricity,BGD,Bangladesh,TWh,1965,2017,2021,pre_saturation,national,regional_csv
Hydroelectricity,CHN,China,TWh,1965,2020,2021,pre_saturation,national,regional_csv
Nuclear Energy,BLR,Belarus,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Nuclear Energy,KAZ,Kazakhstan,TWh,1965,1991,2021,pre_saturation,national,regional_csv
Nuclear Energy,RUS,Russian Federation,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Hydroelectricity,IND,India,TWh,1965,2020,2021,pre_saturation,national,regional_csv
Hydroelectricity,IDN,Indonesia,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Nuclear Energy,BRA,Brazil,TWh,1965,2019,2021,pre_saturation,national,regional_csv
Nuclear Energy,ARG,Argentina,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Hydroelectricity,MAR,Morocco,TWh,1965,2010,2021,pre_saturation,national,regional_csv
Nuclear Energy,SVK,Slovakia,TWh,1965,2006,2021,pre_saturation,national,regional_csv
Hydroelectricity,CHL,Chile,TWh,1965,2006,2021,pre_saturation,national,regional_csv
Nuclear Energy,ITA,Italy,TWh,1965,1986,2021,pre_saturation,national,regional_csv
