tech_name,region,country,unit,year_start,year_peak,year_sat,series_type,scale,source
Postal Traffic,NOR,Norway,Number (millions),1848,1993,1993,pre_saturation,national,regional_csv
Railroad,NGA,Nigeria,kilometers,1873,1975,1998,saturating,national,regional_csv
Railroad,ZAF,South Africa,kilometers,1873,1986,1998,pre_saturation,national,regional_csv
Telegraph Traffic,DNK,Denmark,Number (millions),1865,1919,1919,declining_structural,national,regional_csv
Railroad,AUS,Australia,kilometers,1869,1927,1954,saturating,national,regional_csv
Railroad,SLV,El Salvador,kilometers,1875,1984,1986,saturating,national,regional_csv
Beer Production,ITA,Italy,thousand hectolitres,1879,2003,2004,pre_saturation,national,regional_csv
Railroad,NIC,Nicaragua,kilometers,1875,1949,1956,saturating,national,regional_csv
Beer Production,USA,USA,thousand hectolitres,1870,1998,1998,pre_saturation,national,regional_csv
Steamships,GBR,United Kingdom,-,1814,1914,1914,declining_structural,national,regional_csv
Steamships,NOR,Norway,-,1866,1915,1988,pre_saturation,national,regional_csv
Cane Sugar,EGY,Egypt,thousand metric tons,1888,2007,2010,pre_saturation,national,regional_csv
Beer Production,SWE,Sweden,thousand hectolitres,1885,1995,2007,pre_saturation,national,regional_csv
Silver,AUS,Australia,metric tons,1882,2002,2004,pre_saturation,national,regional_csv
Beer Production,NZL,New Zealand,thousand hectolitres,1886,1987,1990,saturating,national,regional_csv
Railroad,SLE,Sierra Leone,kilometers,1873,1915,1930,saturating,national,regional_csv
Public Roads,USA,United States,miles,1900,2018,2020,saturating,national,regional_csv
Railroad,SEN,Senegal,kilometers,1873,1936,1958,saturating,national,regional_csv
Primary Bauxite Production,World,World,metric tons,1900,2019,2019,pre_saturation,global,regional_csv
Gold,IND,India,metric tons,1885,1913,1913,declining_structural,national,regional_csv
Nickel Production,CAN,Canada,thousand metric tons,1889,1970,2008,pre_saturation,national,regional_csv
Cement,USA,United States,metric tons,1900,2005,2007,saturating,national,regional_csv
Crude Oil,IND,India,thousand metric tons,1889,2002,2008,pre_saturation,national,regional_csv
Rare Earth Mine Production,World,World,metric tons,1900,2019,2019,pre_saturation,global,regional_csv
Zinc,World,World,thousand metric tons,1900,2014,2019,pre_saturation,global,regional_csv
Primary Aluminum Production,World,World,metric tons,1900,2018,2019,pre_saturation,global,regional_csv
Telegraph Traffic,HUN,Hungary,Number (millions),1868,1916,1916,declining_structural,national,regional_csv
Raw Steel Production,USA,United States,metric tons,1900,1973,2019,pre_saturation,national,regional_csv
Graphite,World,World,metric tons,1900,2012,2019,pre_saturation,global,regional_csv
Primary Aluminum Production,USA,United States,metric tons,1900,1980,2019,pre_saturation,national,regional_csv
Cadmium Refining,World,World,metric tons,1900,2016,2018,saturating,global,regional_csv
Telegraph Traffic,ZAF,South Africa,Number (millions),1873,1971,1993,pre_saturation,national,regional_csv
Primary Copper,USA,United States,metric tons,1900,1998,2018,pre_saturation,national,regional_csv
Nickel Production,World,World,thousand metric tons,1900,2013,2018,pre_saturation,global,regional_csv
